MPO,FechaHora,Aportes Caudal m3/s,Aportes Energía kWh,Aportes %,Volumen Útil Diario Mm3,Volumen Útil Diario Energía kWh,Volumen Útil Díario %,Volumen Mm3,Volumen Energía kWh,Volumen %
697.1761599,2024-02-01 00:00:00,20.088409090909092,1750352.380952381,0.6503382365714285,314.572875,400161962.5,0.5194514630416667,491.612875,520379387.5,0.62554681025
685.1761599,2024-02-02 00:00:00,22.512113636363637,1875885.7142857143,0.6929696916190476,312.79491666666667,397793629.1666667,0.518631544875,489.8349166666667,518011050.0,0.6248916324166667
681.1761599,2024-02-03 00:00:00,32.22138636363636,2797852.380952381,0.9530180746428571,313.2400416666666,397447841.6666667,0.5212707398333333,490.28004166666665,517665270.8333333,0.6257623922916666
641.1761599,2024-02-04 00:00:00,37.11563636363636,2920043.9024390243,1.0407028015365853,314.0731666666667,397575416.6666667,0.541325527125,491.1131666666667,517792841.6666667,0.6416671966249999
545.5071599,2024-02-05 00:00:00,38.77568181818182,2920700.0,1.090968767547619,312.3799583333333,396106825.0,0.5536200465833333,489.41995833333334,516324266.6666667,0.6532058645833333
92.81615988,2024-02-06 00:00:00,45.785545454545456,3143187.8048780486,1.0916375999512193,312.3277083333333,393917170.8333333,0.5483340058333334,489.3677083333334,514134600.0,0.64815497075
552.1761599,2024-02-07 00:00:00,36.474818181818186,2785975.6097560977,1.0459778713414634,311.01458333333335,391475825.0,0.548795747375,488.06375,511556325.0,0.6490143602083334
92.81615988,2024-02-08 00:00:00,33.278431818181815,2293583.3333333335,0.8410164125952381,308.9159583333333,388367104.1666667,0.531914482,485.965125,508447608.3333333,0.6362170979166667
504.1431599,2024-02-09 00:00:00,34.368022727272724,2234231.7073170734,0.805463168195122,305.2724583333333,384737008.3333333,0.51632935525,482.32162500000004,504817504.1666667,0.6214944042083334
535.1761599,2024-02-10 00:00:00,33.57968181818182,2349814.6341463416,0.8765796684390244,303.721875,382106308.3333333,0.5077281037083333,480.77104166666663,502186795.8333333,0.6144088939583333
545.1761599,2024-02-11 00:00:00,28.580090909090906,2015600.0,0.7392891162682926,301.1259166666667,379362958.3333333,0.5069735546666666,478.1750833333333,499443450.0,0.6128377397083333
562.1761599,2024-02-12 00:00:00,24.958568181818183,1886712.1951219512,0.7533340737560975,296.28304166666663,375362479.1666667,0.50218208525,473.3322083333333,495442979.1666667,0.608567930625
593.1761599,2024-02-13 00:00:00,22.436977272727272,1664229.268292683,0.6075349043170731,290.7452083333333,371281912.5,0.4992063942916667,467.794375,491362425.0,0.6063567611666666
533.1761599,2024-02-14 00:00:00,24.811204545454544,1758406.9767441861,0.6230314940232557,288.55941666666666,367413654.1666667,0.4858400016666667,465.60858333333334,487494166.6666667,0.5967673614166666
550.1761599,2024-02-15 00:00:00,21.326568181818182,1610409.5238095238,0.5807044187142857,285.50170833333334,363941225.0,0.4896559228333333,462.55087499999996,484021737.5,0.5995228695833333
530.1761599,2024-02-16 00:00:00,21.925318181818184,1786239.024390244,0.7099170748780488,283.7489166666667,360496550.0,0.4710759721666667,460.79808333333335,480577054.1666667,0.5850407465833333
600.1761599,2024-02-17 00:00:00,24.870795454545455,1780755.0,0.6933578972250001,281.93925,356945541.6666667,0.45761457062500005,458.98841666666664,477026050.0,0.5725713587083333
545.1761599,2024-02-18 00:00:00,25.723318181818183,1758714.6341463414,0.6594933833658536,280.55091666666664,354414570.8333333,0.47095909912499995,457.6000833333333,474495070.8333333,0.5828665917083333
555.1761599,2024-02-19 00:00:00,20.149272727272727,1542680.0,0.5805090709,276.2305,349951479.1666667,0.457699831,453.2796666666666,470031979.1666667,0.5717358799166666
577.1761599,2024-02-20 00:00:00,19.05334090909091,1553085.3658536586,0.6015542007804878,271.743,345631741.6666667,0.45634873095833334,448.7921666666667,465712237.5,0.5713199597916666
601.2901599,2024-02-21 00:00:00,21.145795454545453,1552978.5714285714,0.6084707362619047,267.32308333333333,341943779.1666667,0.461604991125,444.37224999999995,462024291.6666667,0.5758054160833334
471.6641599,2024-02-22 00:00:00,22.963818181818183,1712692.6829268292,0.6188239503414634,266.1565,339243258.3333333,0.45416359716666665,443.2056666666667,459323758.3333333,0.5698541031250001
530.1761599,2024-02-23 00:00:00,22.508886363636364,1691705.0,0.5927438117999999,263.310625,335909829.1666667,0.4396474352083333,440.3597916666667,455990333.3333333,0.560542603
580.1761599,2024-02-24 00:00:00,19.858999999999998,1483985.0,0.5398672647,259.91029166666664,333041250.0,0.4319488999166667,436.9594583333333,453121745.8333333,0.553724176125
555.1761599,2024-02-25 00:00:00,23.43075,1577782.5,0.583179709775,256.34770833333334,331229429.1666667,0.4438324709583334,433.39687499999997,451309929.1666667,0.5616439845416666
548.1761599,2024-02-26 00:00:00,23.748522727272725,1593622.5,0.560967399025,253.291875,327776187.5,0.43938692025,430.3410416666666,447856687.5,0.5576303225416667
547.1761599,2024-02-27 00:00:00,21.62034090909091,1491997.619047619,0.5346376842380952,251.05970833333333,324374862.5,0.42513418904166667,428.10887499999995,444455370.8333333,0.5464140524166666
473.5061599,2024-02-28 00:00:00,20.08193181818182,1435588.0952380951,0.5251604159761905,249.18625,320580716.6666667,0.4168991993333333,426.23541666666665,440661237.5,0.539356888125
495.1761599,2024-02-29 00:00:00,19.030045454545455,1473587.8048780488,0.5594391783658537,245.63675,316848125.0,0.4193441416666667,422.6859166666666,436928633.3333333,0.5412200625833333
690.1761599,2024-02-01 01:00:00,20.088409090909092,1750352.380952381,0.6503382365714285,314.572875,400161962.5,0.5194514630416667,491.612875,520379387.5,0.62554681025
680.1761599,2024-02-02 01:00:00,22.512113636363637,1875885.7142857143,0.6929696916190476,312.79491666666667,397793629.1666667,0.518631544875,489.8349166666667,518011050.0,0.6248916324166667
664.6441599,2024-02-03 01:00:00,32.22138636363636,2797852.380952381,0.9530180746428571,313.2400416666666,397447841.6666667,0.5212707398333333,490.28004166666665,517665270.8333333,0.6257623922916666
641.1761599,2024-02-04 01:00:00,37.11563636363636,2920043.9024390243,1.0407028015365853,314.0731666666667,397575416.6666667,0.541325527125,491.1131666666667,517792841.6666667,0.6416671966249999
545.5071599,2024-02-05 01:00:00,38.77568181818182,2920700.0,1.090968767547619,312.3799583333333,396106825.0,0.5536200465833333,489.41995833333334,516324266.6666667,0.6532058645833333
120.4561599,2024-02-06 01:00:00,45.785545454545456,3143187.8048780486,1.0916375999512193,312.3277083333333,393917170.8333333,0.5483340058333334,489.3677083333334,514134600.0,0.64815497075
551.1761599,2024-02-07 01:00:00,36.474818181818186,2785975.6097560977,1.0459778713414634,311.01458333333335,391475825.0,0.548795747375,488.06375,511556325.0,0.6490143602083334
92.81615988,2024-02-08 01:00:00,33.278431818181815,2293583.3333333335,0.8410164125952381,308.9159583333333,388367104.1666667,0.531914482,485.965125,508447608.3333333,0.6362170979166667
504.1431599,2024-02-09 01:00:00,34.368022727272724,2234231.7073170734,0.805463168195122,305.2724583333333,384737008.3333333,0.51632935525,482.32162500000004,504817504.1666667,0.6214944042083334
510.6081599,2024-02-10 01:00:00,33.57968181818182,2349814.6341463416,0.8765796684390244,303.721875,382106308.3333333,0.5077281037083333,480.77104166666663,502186795.8333333,0.6144088939583333
545.1761599,2024-02-11 01:00:00,28.580090909090906,2015600.0,0.7392891162682926,301.1259166666667,379362958.3333333,0.5069735546666666,478.1750833333333,499443450.0,0.6128377397083333
529.1761599,2024-02-12 01:00:00,24.958568181818183,1886712.1951219512,0.7533340737560975,296.28304166666663,375362479.1666667,0.50218208525,473.3322083333333,495442979.1666667,0.608567930625
552.1761599,2024-02-13 01:00:00,22.436977272727272,1664229.268292683,0.6075349043170731,290.7452083333333,371281912.5,0.4992063942916667,467.794375,491362425.0,0.6063567611666666
533.1761599,2024-02-14 01:00:00,24.811204545454544,1758406.9767441861,0.6230314940232557,288.55941666666666,367413654.1666667,0.4858400016666667,465.60858333333334,487494166.6666667,0.5967673614166666
550.1761599,2024-02-15 01:00:00,21.326568181818182,1610409.5238095238,0.5807044187142857,285.50170833333334,363941225.0,0.4896559228333333,462.55087499999996,484021737.5,0.5995228695833333
530.1761599,2024-02-16 01:00:00,21.925318181818184,1786239.024390244,0.7099170748780488,283.7489166666667,360496550.0,0.4710759721666667,460.79808333333335,480577054.1666667,0.5850407465833333
600.1761599,2024-02-17 01:00:00,24.870795454545455,1780755.0,0.6933578972250001,281.93925,356945541.6666667,0.45761457062500005,458.98841666666664,477026050.0,0.5725713587083333
545.1761599,2024-02-18 01:00:00,25.723318181818183,1758714.6341463414,0.6594933833658536,280.55091666666664,354414570.8333333,0.47095909912499995,457.6000833333333,474495070.8333333,0.5828665917083333
550.1761599,2024-02-19 01:00:00,20.149272727272727,1542680.0,0.5805090709,276.2305,349951479.1666667,0.457699831,453.2796666666666,470031979.1666667,0.5717358799166666
550.1761599,2024-02-20 01:00:00,19.05334090909091,1553085.3658536586,0.6015542007804878,271.743,345631741.6666667,0.45634873095833334,448.7921666666667,465712237.5,0.5713199597916666
601.2901599,2024-02-21 01:00:00,21.145795454545453,1552978.5714285714,0.6084707362619047,267.32308333333333,341943779.1666667,0.461604991125,444.37224999999995,462024291.6666667,0.5758054160833334
471.6641599,2024-02-22 01:00:00,22.963818181818183,1712692.6829268292,0.6188239503414634,266.1565,339243258.3333333,0.45416359716666665,443.2056666666667,459323758.3333333,0.5698541031250001
528.5661599,2024-02-23 01:00:00,22.508886363636364,1691705.0,0.5927438117999999,263.310625,335909829.1666667,0.4396474352083333,440.3597916666667,455990333.3333333,0.560542603
555.1761599,2024-02-24 01:00:00,19.858999999999998,1483985.0,0.5398672647,259.91029166666664,333041250.0,0.4319488999166667,436.9594583333333,453121745.8333333,0.553724176125
555.1761599,2024-02-25 01:00:00,23.43075,1577782.5,0.583179709775,256.34770833333334,331229429.1666667,0.4438324709583334,433.39687499999997,451309929.1666667,0.5616439845416666
530.6141599,2024-02-26 01:00:00,23.748522727272725,1593622.5,0.560967399025,253.291875,327776187.5,0.43938692025,430.3410416666666,447856687.5,0.5576303225416667
525.1761599,2024-02-27 01:00:00,21.62034090909091,1491997.619047619,0.5346376842380952,251.05970833333333,324374862.5,0.42513418904166667,428.10887499999995,444455370.8333333,0.5464140524166666
223.9491599,2024-02-28 01:00:00,20.08193181818182,1435588.0952380951,0.5251604159761905,249.18625,320580716.6666667,0.4168991993333333,426.23541666666665,440661237.5,0.539356888125
482.2021599,2024-02-29 01:00:00,19.030045454545455,1473587.8048780488,0.5594391783658537,245.63675,316848125.0,0.4193441416666667,422.6859166666666,436928633.3333333,0.5412200625833333
690.1761599,2024-02-01 02:00:00,20.088409090909092,1750352.380952381,0.6503382365714285,314.572875,400161962.5,0.5194514630416667,491.612875,520379387.5,0.62554681025
680.1761599,2024-02-02 02:00:00,22.512113636363637,1875885.7142857143,0.6929696916190476,312.79491666666667,397793629.1666667,0.518631544875,489.8349166666667,518011050.0,0.6248916324166667
611.5571599,2024-02-03 02:00:00,32.22138636363636,2797852.380952381,0.9530180746428571,313.2400416666666,397447841.6666667,0.5212707398333333,490.28004166666665,517665270.8333333,0.6257623922916666
641.1761599,2024-02-04 02:00:00,37.11563636363636,2920043.9024390243,1.0407028015365853,314.0731666666667,397575416.6666667,0.541325527125,491.1131666666667,517792841.6666667,0.6416671966249999
440.1761599,2024-02-05 02:00:00,38.77568181818182,2920700.0,1.090968767547619,312.3799583333333,396106825.0,0.5536200465833333,489.41995833333334,516324266.6666667,0.6532058645833333
291.7461599,2024-02-06 02:00:00,45.785545454545456,3143187.8048780486,1.0916375999512193,312.3277083333333,393917170.8333333,0.5483340058333334,489.3677083333334,514134600.0,0.64815497075
533.1761599,2024-02-07 02:00:00,36.474818181818186,2785975.6097560977,1.0459778713414634,311.01458333333335,391475825.0,0.548795747375,488.06375,511556325.0,0.6490143602083334
92.81615988,2024-02-08 02:00:00,33.278431818181815,2293583.3333333335,0.8410164125952381,308.9159583333333,388367104.1666667,0.531914482,485.965125,508447608.3333333,0.6362170979166667
504.1431599,2024-02-09 02:00:00,34.368022727272724,2234231.7073170734,0.805463168195122,305.2724583333333,384737008.3333333,0.51632935525,482.32162500000004,504817504.1666667,0.6214944042083334
510.6081599,2024-02-10 02:00:00,33.57968181818182,2349814.6341463416,0.8765796684390244,303.721875,382106308.3333333,0.5077281037083333,480.77104166666663,502186795.8333333,0.6144088939583333
545.1761599,2024-02-11 02:00:00,28.580090909090906,2015600.0,0.7392891162682926,301.1259166666667,379362958.3333333,0.5069735546666666,478.1750833333333,499443450.0,0.6128377397083333
526.1761599,2024-02-12 02:00:00,24.958568181818183,1886712.1951219512,0.7533340737560975,296.28304166666663,375362479.1666667,0.50218208525,473.3322083333333,495442979.1666667,0.608567930625
552.1761599,2024-02-13 02:00:00,22.436977272727272,1664229.268292683,0.6075349043170731,290.7452083333333,371281912.5,0.4992063942916667,467.794375,491362425.0,0.6063567611666666
533.1761599,2024-02-14 02:00:00,24.811204545454544,1758406.9767441861,0.6230314940232557,288.55941666666666,367413654.1666667,0.4858400016666667,465.60858333333334,487494166.6666667,0.5967673614166666
550.1761599,2024-02-15 02:00:00,21.326568181818182,1610409.5238095238,0.5807044187142857,285.50170833333334,363941225.0,0.4896559228333333,462.55087499999996,484021737.5,0.5995228695833333
530.1761599,2024-02-16 02:00:00,21.925318181818184,1786239.024390244,0.7099170748780488,283.7489166666667,360496550.0,0.4710759721666667,460.79808333333335,480577054.1666667,0.5850407465833333
555.1761599,2024-02-17 02:00:00,24.870795454545455,1780755.0,0.6933578972250001,281.93925,356945541.6666667,0.45761457062500005,458.98841666666664,477026050.0,0.5725713587083333
535.1761599,2024-02-18 02:00:00,25.723318181818183,1758714.6341463414,0.6594933833658536,280.55091666666664,354414570.8333333,0.47095909912499995,457.6000833333333,474495070.8333333,0.5828665917083333
540.1761599,2024-02-19 02:00:00,20.149272727272727,1542680.0,0.5805090709,276.2305,349951479.1666667,0.457699831,453.2796666666666,470031979.1666667,0.5717358799166666
530.7991599,2024-02-20 02:00:00,19.05334090909091,1553085.3658536586,0.6015542007804878,271.743,345631741.6666667,0.45634873095833334,448.7921666666667,465712237.5,0.5713199597916666
601.2901599,2024-02-21 02:00:00,21.145795454545453,1552978.5714285714,0.6084707362619047,267.32308333333333,341943779.1666667,0.461604991125,444.37224999999995,462024291.6666667,0.5758054160833334
471.6641599,2024-02-22 02:00:00,22.963818181818183,1712692.6829268292,0.6188239503414634,266.1565,339243258.3333333,0.45416359716666665,443.2056666666667,459323758.3333333,0.5698541031250001
483.9491599,2024-02-23 02:00:00,22.508886363636364,1691705.0,0.5927438117999999,263.310625,335909829.1666667,0.4396474352083333,440.3597916666667,455990333.3333333,0.560542603
555.1761599,2024-02-24 02:00:00,19.858999999999998,1483985.0,0.5398672647,259.91029166666664,333041250.0,0.4319488999166667,436.9594583333333,453121745.8333333,0.553724176125
555.1761599,2024-02-25 02:00:00,23.43075,1577782.5,0.583179709775,256.34770833333334,331229429.1666667,0.4438324709583334,433.39687499999997,451309929.1666667,0.5616439845416666
500.1761599,2024-02-26 02:00:00,23.748522727272725,1593622.5,0.560967399025,253.291875,327776187.5,0.43938692025,430.3410416666666,447856687.5,0.5576303225416667
